Time,Nutrient level,Paramecium (P),dP/dt
0.01,1,13.89,49.64639447
0.5,1,48.16,110.3860883
0.99,1,192.9,604.7888441
1.49,1,596.8,771.1687288
1.99,1,873.4,393.5362406
2.5,1,1023,196.3134845
3.02,1,1080,31.89591215
3.51,1,1067,-78.60863401
4.03,1,1035,21.13116903
4.53,1,1073,43.17123052
5.02,1,1059,-53.94090421
5.53,1,1049,27.19727702
6.03,1,1070,13.49056434
6.54,1,1052,-59.60545542
0.01,0.5,11.60143916,29.17526457
0.51,0.5,29.80753785,50.91113155
1,0.5,68.8141814,115.6682051
1.51,0.5,152.2632542,214.3364237
2.01,0.5,277.2373659,268.755986
2.48,0.5,395.4563076,215.1935157
2.97,0.5,474.900623,113.8121117
3.46,0.5,506.3677123,8.607453475
3.96,0.5,494.4067642,-26.09423868
4.46,0.5,490.6125116,1.238297443
4.95,0.5,491.4218427,3.31357932
5.45,0.5,493.4506632,2.576001112
5.93,0.5,490.821136,-18.02749927
6.42,0.5,476.3086608,-35.39734485
0.01,0.375,15.31600305,17.70797474
0.47,0.375,24.45180373,24.17276738
0.96,0.375,41.08309797,46.58441493
1.46,0.375,74.98601032,94.41461691
1.96,0.375,139.9168134,168.7594101
2.45,0.375,238.0002278,221.4902342
2.94,0.375,339.3560091,166.3359535
3.44,0.375,391.6497676,48.82886673
3.93,0.375,395.9652193,-22.46311402
4.43,0.375,383.3000237,-8.086889992
4.91,0.375,387.1753615,4.534533089
5.42,0.375,383.027778,-8.775513302
5.91,0.375,381.3651641,-3.562983169
6.42,0.375,377.5267204,-9.49734394
0,0.1,16.74363585,13.07091681
0.5,0.1,23.28919906,13.13165733
1,0.1,29.85992855,13.10021007
1.51,0.1,36.4240704,12.50632444
2,0.1,42.28169875,11.33052437
2.5,0.1,47.55934075,9.714657898
3,0.1,51.93446351,7.727432624
3.5,0.1,55.25633989,5.557606402
3.99,0.1,57.53131365,3.880038507
4.5,0.1,59.21463044,2.777441483
5.01,0.1,60.39899106,1.878886254
5.51,0.1,61.20523077,1.502815954
6,0.1,61.94594336,1.483204805
6.5,0.1,62.66521396,1.416305276